date,series_id,value,quality
2019-01,CPIAUCSL_YOY,2.1000,anchor
2019-02,CPIAUCSL_YOY,2.1174,interpolated
2019-03,CPIAUCSL_YOY,2.1350,interpolated
2019-04,CPIAUCSL_YOY,2.1528,interpolated
2019-05,CPIAUCSL_YOY,2.1706,interpolated
2019-06,CPIAUCSL_YOY,2.1887,interpolated
2019-07,CPIAUCSL_YOY,2.2068,interpolated
2019-08,CPIAUCSL_YOY,2.2252,interpolated
2019-09,CPIAUCSL_YOY,2.2436,interpolated
2019-10,CPIAUCSL_YOY,2.2623,interpolated
2019-11,CPIAUCSL_YOY,2.2811,interpolated
2019-12,CPIAUCSL_YOY,2.3000,anchor
2020-01,CPIAUCSL_YOY,2.5000,anchor
2020-02,CPIAUCSL_YOY,2.3000,anchor
2020-03,CPIAUCSL_YOY,1.5000,anchor
2020-04,CPIAUCSL_YOY,0.3000,anchor
2020-05,CPIAUCSL_YOY,0.1000,anchor
2020-06,CPIAUCSL_YOY,0.6000,anchor
2020-07,CPIAUCSL_YOY,1.0000,anchor
2020-08,CPIAUCSL_YOY,1.3000,anchor
2020-09,CPIAUCSL_YOY,1.4000,anchor
2020-10,CPIAUCSL_YOY,1.2000,anchor
2020-11,CPIAUCSL_YOY,1.2000,anchor
2020-12,CPIAUCSL_YOY,1.4000,anchor
2021-01,CPIAUCSL_YOY,1.4000,anchor
2021-02,CPIAUCSL_YOY,2.0191,interpolated
2021-03,CPIAUCSL_YOY,2.9121,interpolated
2021-04,CPIAUCSL_YOY,4.2000,anchor
2021-05,CPIAUCSL_YOY,4.7624,interpolated
2021-06,CPIAUCSL_YOY,5.4000,anchor
2021-07,CPIAUCSL_YOY,5.4000,interpolated
2021-08,CPIAUCSL_YOY,5.4000,interpolated
2021-09,CPIAUCSL_YOY,5.4000,anchor
2021-10,CPIAUCSL_YOY,6.2000,anchor
2021-11,CPIAUCSL_YOY,6.8000,anchor
2021-12,CPIAUCSL_YOY,7.0000,anchor
2022-01,CPIAUCSL_YOY,7.5000,anchor
2022-02,CPIAUCSL_YOY,7.9000,anchor
2022-03,CPIAUCSL_YOY,8.5000,anchor
2022-04,CPIAUCSL_YOY,8.3000,anchor
2022-05,CPIAUCSL_YOY,8.6000,anchor
2022-06,CPIAUCSL_YOY,9.1000,anchor
2022-07,CPIAUCSL_YOY,8.5000,anchor
2022-08,CPIAUCSL_YOY,8.3000,anchor
2022-09,CPIAUCSL_YOY,8.2000,anchor
2022-10,CPIAUCSL_YOY,7.7000,anchor
2022-11,CPIAUCSL_YOY,7.1000,anchor
2022-12,CPIAUCSL_YOY,6.5000,anchor
