date,series_id,value,quality
2019-01,INDPRO_INDEX,100.0000,anchor
2019-02,INDPRO_INDEX,100.0905,interpolated
2019-03,INDPRO_INDEX,100.1811,interpolated
2019-04,INDPRO_INDEX,100.2717,interpolated
2019-05,INDPRO_INDEX,100.3625,interpolated
2019-06,INDPRO_INDEX,100.4533,interpolated
2019-07,INDPRO_INDEX,100.5442,interpolated
2019-08,INDPRO_INDEX,100.6352,interpolated
2019-09,INDPRO_INDEX,100.7263,interpolated
2019-10,INDPRO_INDEX,100.8174,interpolated
2019-11,INDPRO_INDEX,100.9087,interpolated
2019-12,INDPRO_INDEX,101.0000,anchor
2020-01,INDPRO_INDEX,101.0000,anchor
2020-02,INDPRO_INDEX,101.1000,anchor
2020-03,INDPRO_INDEX,96.7000,anchor
2020-04,INDPRO_INDEX,85.9000,anchor
2020-05,INDPRO_INDEX,87.1000,anchor
2020-06,INDPRO_INDEX,92.5000,anchor
2020-07,INDPRO_INDEX,94.2000,anchor
2020-08,INDPRO_INDEX,95.5000,anchor
2020-09,INDPRO_INDEX,95.8000,anchor
2020-10,INDPRO_INDEX,96.4000,anchor
2020-11,INDPRO_INDEX,96.7000,anchor
2020-12,INDPRO_INDEX,96.5000,anchor
