date,series_id,value,quality
2019-01,RSAFS_INDEX,100.0000,anchor
2019-02,RSAFS_INDEX,100.1802,interpolated
2019-03,RSAFS_INDEX,100.3607,interpolated
2019-04,RSAFS_INDEX,100.5415,interpolated
2019-05,RSAFS_INDEX,100.7227,interpolated
2019-06,RSAFS_INDEX,100.9042,interpolated
2019-07,RSAFS_INDEX,101.0860,interpolated
2019-08,RSAFS_INDEX,101.2681,interpolated
2019-09,RSAFS_INDEX,101.4506,interpolated
2019-10,RSAFS_INDEX,101.6334,interpolated
2019-11,RSAFS_INDEX,101.8165,interpolated
2019-12,RSAFS_INDEX,102.0000,anchor
2020-01,RSAFS_INDEX,102.5000,anchor
2020-02,RSAFS_INDEX,102.3000,anchor
2020-03,RSAFS_INDEX,93.4000,anchor
2020-04,RSAFS_INDEX,78.1000,anchor
2020-05,RSAFS_INDEX,91.9000,anchor
2020-06,RSAFS_INDEX,99.6000,anchor
2020-07,RSAFS_INDEX,100.5000,anchor
2020-08,RSAFS_INDEX,101.7000,anchor
2020-09,RSAFS_INDEX,103.5000,anchor
2020-10,RSAFS_INDEX,103.9000,anchor
2020-11,RSAFS_INDEX,102.5000,anchor
2020-12,RSAFS_INDEX,101.5000,anchor
2021-01,RSAFS_INDEX,108.6000,anchor
2021-02,RSAFS_INDEX,104.4000,anchor
2021-03,RSAFS_INDEX,112.4000,anchor
2021-04,RSAFS_INDEX,113.9000,anchor
2021-05,RSAFS_INDEX,113.0000,anchor
2021-06,RSAFS_INDEX,113.9000,anchor
2021-07,RSAFS_INDEX,115.0537,interpolated
2021-08,RSAFS_INDEX,116.2191,interpolated
2021-09,RSAFS_INDEX,117.3963,interpolated
2021-10,RSAFS_INDEX,118.5855,interpolated
2021-11,RSAFS_INDEX,119.7867,interpolated
2021-12,RSAFS_INDEX,121.0000,anchor
