date,series_id,value,quality
2019-01,UNRATE,4.0000,anchor
2019-02,UNRATE,3.9517,interpolated
2019-03,UNRATE,3.9041,interpolated
2019-04,UNRATE,3.8569,interpolated
2019-05,UNRATE,3.8104,interpolated
2019-06,UNRATE,3.7644,interpolated
2019-07,UNRATE,3.7190,interpolated
2019-08,UNRATE,3.6741,interpolated
2019-09,UNRATE,3.6298,interpolated
2019-10,UNRATE,3.5860,interpolated
2019-11,UNRATE,3.5427,interpolated
2019-12,UNRATE,3.5000,anchor
2020-01,UNRATE,3.6000,anchor
2020-02,UNRATE,3.5000,anchor
2020-03,UNRATE,4.4000,anchor
2020-04,UNRATE,14.7000,anchor
2020-05,UNRATE,13.3000,anchor
2020-06,UNRATE,11.1000,anchor
2020-07,UNRATE,10.2000,anchor
2020-08,UNRATE,8.4000,anchor
2020-09,UNRATE,7.9000,anchor
2020-10,UNRATE,6.9000,anchor
2020-11,UNRATE,6.7000,anchor
2020-12,UNRATE,6.7000,anchor
