date,series_id,value,quality
2020-01,FREIGHT_INDEX,100.0000,anchor
2020-02,FREIGHT_INDEX,97.4757,interpolated
2020-03,FREIGHT_INDEX,95.0152,interpolated
2020-04,FREIGHT_INDEX,92.6168,interpolated
2020-05,FREIGHT_INDEX,90.2789,interpolated
2020-06,FREIGHT_INDEX,88.0000,anchor
2020-07,FREIGHT_INDEX,95.0802,interpolated
2020-08,FREIGHT_INDEX,102.7301,interpolated
2020-09,FREIGHT_INDEX,110.9955,interpolated
2020-10,FREIGHT_INDEX,119.9259,interpolated
2020-11,FREIGHT_INDEX,129.5748,interpolated
2020-12,FREIGHT_INDEX,140.0000,anchor
2021-01,FREIGHT_INDEX,150.0000,anchor
2021-02,FREIGHT_INDEX,152.4795,interpolated
2021-03,FREIGHT_INDEX,155.0000,anchor
2021-04,FREIGHT_INDEX,169.3369,interpolated
2021-05,FREIGHT_INDEX,185.0000,anchor
2021-06,FREIGHT_INDEX,201.7424,interpolated
2021-07,FREIGHT_INDEX,220.0000,anchor
2021-08,FREIGHT_INDEX,232.1637,interpolated
2021-09,FREIGHT_INDEX,245.0000,anchor
2021-10,FREIGHT_INDEX,250.0000,anchor
2021-11,FREIGHT_INDEX,226.3846,interpolated
2021-12,FREIGHT_INDEX,205.0000,anchor
