date,series_id,value,quality
2024-01,DCOILWTICO,73.0000,anchor
2024-02,DCOILWTICO,72.6270,interpolated
2024-03,DCOILWTICO,72.2559,interpolated
2024-04,DCOILWTICO,71.8866,interpolated
2024-05,DCOILWTICO,71.5193,interpolated
2024-06,DCOILWTICO,71.1539,interpolated
2024-07,DCOILWTICO,70.7903,interpolated
2024-08,DCOILWTICO,70.4285,interpolated
2024-09,DCOILWTICO,70.0687,interpolated
2024-10,DCOILWTICO,69.7106,interpolated
2024-11,DCOILWTICO,69.3544,interpolated
2024-12,DCOILWTICO,69.0000,anchor
2025-01,DCOILWTICO,74.0000,anchor
2025-02,DCOILWTICO,71.0000,anchor
2025-03,DCOILWTICO,68.0000,anchor
2025-04,DCOILWTICO,61.0000,anchor
2025-05,DCOILWTICO,59.0000,anchor
2025-06,DCOILWTICO,65.0000,anchor
2025-07,DCOILWTICO,67.0000,anchor
2025-08,DCOILWTICO,66.0000,anchor
2025-09,DCOILWTICO,65.0000,anchor
2025-10,DCOILWTICO,71.0000,anchor
2025-11,DCOILWTICO,68.0000,anchor
2025-12,DCOILWTICO,66.0000,anchor
