date,series_id,value,quality
2024-01,FRGSREC,2.3000,anchor
2024-02,FRGSREC,2.3091,interpolated
2024-03,FRGSREC,2.3182,interpolated
2024-04,FRGSREC,2.3273,interpolated
2024-05,FRGSREC,2.3364,interpolated
2024-06,FRGSREC,2.3455,interpolated
2024-07,FRGSREC,2.3545,interpolated
2024-08,FRGSREC,2.3636,interpolated
2024-09,FRGSREC,2.3727,interpolated
2024-10,FRGSREC,2.3818,interpolated
2024-11,FRGSREC,2.3909,interpolated
2024-12,FRGSREC,2.4000,anchor
2025-01,FRGSREC,2.5000,anchor
2025-02,FRGSREC,2.6000,anchor
2025-03,FRGSREC,1.8000,anchor
2025-04,FRGSREC,-2.2000,anchor
2025-05,FRGSREC,0.8000,anchor
2025-06,FRGSREC,1.5000,anchor
2025-07,FRGSREC,1.2000,anchor
2025-08,FRGSREC,1.0000,anchor
2025-09,FRGSREC,2.2000,anchor
2025-10,FRGSREC,2.4000,anchor
2025-11,FRGSREC,2.6000,anchor
2025-12,FRGSREC,2.3000,anchor
