date,series_id,value,quality
2024-01,IMPGSA,332.0000,anchor
2024-02,IMPGSA,333.7702,interpolated
2024-03,IMPGSA,335.5499,interpolated
2024-04,IMPGSA,337.3390,interpolated
2024-05,IMPGSA,339.1377,interpolated
2024-06,IMPGSA,340.9460,interpolated
2024-07,IMPGSA,342.7639,interpolated
2024-08,IMPGSA,344.5916,interpolated
2024-09,IMPGSA,346.4289,interpolated
2024-10,IMPGSA,348.2761,interpolated
2024-11,IMPGSA,350.1331,interpolated
2024-12,IMPGSA,352.0000,anchor
2025-01,IMPGSA,344.0000,anchor
2025-02,IMPGSA,347.0000,anchor
2025-03,IMPGSA,368.0000,anchor
2025-04,IMPGSA,312.0000,anchor
2025-05,IMPGSA,295.0000,anchor
2025-06,IMPGSA,288.0000,anchor
2025-07,IMPGSA,294.0000,anchor
2025-08,IMPGSA,310.0000,anchor
2025-09,IMPGSA,325.0000,anchor
2025-10,IMPGSA,318.0000,anchor
2025-11,IMPGSA,330.0000,anchor
2025-12,IMPGSA,340.0000,anchor
