date,series_id,value,quality
2020-01,ISMMAN_SUPPLIER_DELIVERIES,51.2000,anchor
2020-02,ISMMAN_SUPPLIER_DELIVERIES,58.0868,interpolated
2020-03,ISMMAN_SUPPLIER_DELIVERIES,65.9000,anchor
2020-04,ISMMAN_SUPPLIER_DELIVERIES,76.1000,anchor
2020-05,ISMMAN_SUPPLIER_DELIVERIES,67.7000,anchor
2020-06,ISMMAN_SUPPLIER_DELIVERIES,66.4089,interpolated
2020-07,ISMMAN_SUPPLIER_DELIVERIES,65.1424,interpolated
2020-08,ISMMAN_SUPPLIER_DELIVERIES,63.9000,anchor
2020-09,ISMMAN_SUPPLIER_DELIVERIES,63.1105,interpolated
2020-10,ISMMAN_SUPPLIER_DELIVERIES,62.3307,interpolated
2020-11,ISMMAN_SUPPLIER_DELIVERIES,61.5606,interpolated
2020-12,ISMMAN_SUPPLIER_DELIVERIES,60.8000,anchor
2021-01,ISMMAN_SUPPLIER_DELIVERIES,61.9000,anchor
2021-02,ISMMAN_SUPPLIER_DELIVERIES,66.2000,anchor
2021-03,ISMMAN_SUPPLIER_DELIVERIES,74.4000,anchor
2021-04,ISMMAN_SUPPLIER_DELIVERIES,75.1000,anchor
2021-05,ISMMAN_SUPPLIER_DELIVERIES,78.8000,anchor
2021-06,ISMMAN_SUPPLIER_DELIVERIES,75.3000,anchor
2021-07,ISMMAN_SUPPLIER_DELIVERIES,72.5000,anchor
2021-08,ISMMAN_SUPPLIER_DELIVERIES,69.4000,anchor
2021-09,ISMMAN_SUPPLIER_DELIVERIES,73.4000,anchor
2021-10,ISMMAN_SUPPLIER_DELIVERIES,72.2000,anchor
2021-11,ISMMAN_SUPPLIER_DELIVERIES,72.2000,anchor
2021-12,ISMMAN_SUPPLIER_DELIVERIES,64.9000,anchor
