date,series_id,value,quality
2021-01,FEDFUNDS,0.0900,anchor
2021-02,FEDFUNDS,0.0890,interpolated
2021-03,FEDFUNDS,0.0881,interpolated
2021-04,FEDFUNDS,0.0872,interpolated
2021-05,FEDFUNDS,0.0862,interpolated
2021-06,FEDFUNDS,0.0853,interpolated
2021-07,FEDFUNDS,0.0844,interpolated
2021-08,FEDFUNDS,0.0835,interpolated
2021-09,FEDFUNDS,0.0826,interpolated
2021-10,FEDFUNDS,0.0817,interpolated
2021-11,FEDFUNDS,0.0809,interpolated
2021-12,FEDFUNDS,0.0800,anchor
2022-01,FEDFUNDS,0.1283,interpolated
2022-02,FEDFUNDS,0.2058,interpolated
2022-03,FEDFUNDS,0.3300,anchor
2022-04,FEDFUNDS,0.3300,anchor
2022-05,FEDFUNDS,0.7700,anchor
2022-06,FEDFUNDS,1.5800,anchor
2022-07,FEDFUNDS,1.6800,anchor
2022-08,FEDFUNDS,2.3300,anchor
2022-09,FEDFUNDS,2.5600,anchor
2022-10,FEDFUNDS,3.0800,anchor
2022-11,FEDFUNDS,3.8300,anchor
2022-12,FEDFUNDS,4.3300,anchor
