date,series_id,value,quality
2021-01,PCEPILFE_YOY,1.4000,anchor
2021-02,PCEPILFE_YOY,1.8248,interpolated
2021-03,PCEPILFE_YOY,2.3784,interpolated
2021-04,PCEPILFE_YOY,3.1000,anchor
2021-05,PCEPILFE_YOY,3.2826,interpolated
2021-06,PCEPILFE_YOY,3.4759,interpolated
2021-07,PCEPILFE_YOY,3.6807,interpolated
2021-08,PCEPILFE_YOY,3.8974,interpolated
2021-09,PCEPILFE_YOY,4.1270,interpolated
2021-10,PCEPILFE_YOY,4.3701,interpolated
2021-11,PCEPILFE_YOY,4.6275,interpolated
2021-12,PCEPILFE_YOY,4.9000,anchor
2022-01,PCEPILFE_YOY,5.1000,anchor
2022-02,PCEPILFE_YOY,5.4000,anchor
2022-03,PCEPILFE_YOY,5.3000,anchor
2022-04,PCEPILFE_YOY,4.9000,anchor
2022-05,PCEPILFE_YOY,4.7000,anchor
2022-06,PCEPILFE_YOY,4.8000,anchor
2022-07,PCEPILFE_YOY,4.8980,interpolated
2022-08,PCEPILFE_YOY,4.9980,interpolated
2022-09,PCEPILFE_YOY,5.1000,anchor
2022-10,PCEPILFE_YOY,5.0324,interpolated
2022-11,PCEPILFE_YOY,4.9658,interpolated
2022-12,PCEPILFE_YOY,4.9000,anchor
