date,series_id,value,quality
2024-01,CUSVMV,7.8000,anchor
2024-02,CUSVMV,7.8355,interpolated
2024-03,CUSVMV,7.8712,interpolated
2024-04,CUSVMV,7.9071,interpolated
2024-05,CUSVMV,7.9431,interpolated
2024-06,CUSVMV,7.9793,interpolated
2024-07,CUSVMV,8.0157,interpolated
2024-08,CUSVMV,8.0522,interpolated
2024-09,CUSVMV,8.0889,interpolated
2024-10,CUSVMV,8.1258,interpolated
2024-11,CUSVMV,8.1628,interpolated
2024-12,CUSVMV,8.2000,anchor
2025-01,CUSVMV,9.2000,anchor
2025-02,CUSVMV,9.8000,anchor
2025-03,CUSVMV,13.5000,anchor
2025-04,CUSVMV,12.4000,anchor
2025-05,CUSVMV,13.8000,anchor
2025-06,CUSVMV,15.1000,anchor
2025-07,CUSVMV,14.2000,anchor
2025-08,CUSVMV,14.8000,anchor
2025-09,CUSVMV,15.6000,anchor
2025-10,CUSVMV,14.0000,anchor
2025-11,CUSVMV,15.2000,anchor
2025-12,CUSVMV,16.1000,anchor
